AMGN,AXP,CAT,CSCO,CVX,DIS,GS,HD,HON,IBM,INTC,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,PG,TRV,UNH,VZ,WBA,WMT
-2,13,-2,30,-2,-2,38,6,-2,-2,1,-2,-2,22,23,41,-2,-2,0,2,4,12,6,-2,0
0,13,0,30,0,0,38,6,0,0,1,0,0,22,23,41,0,0,0,2,4,12,6,0,0
0,13,0,30,0,0,38,6,0,0,1,0,0,22,23,41,0,0,0,2,4,12,6,0,0
0,13,0,30,0,0,38,6,0,0,1,0,0,22,23,41,0,0,0,2,4,12,6,0,0
0,13,0,30,0,0,38,6,0,0,1,0,0,22,23,41,0,0,0,2,4,12,6,0,0
0,13,0,30,0,0,38,6,0,0,1,0,0,22,23,41,0,0,0,2,4,12,6,0,0
0,13,0,30,0,0,38,6,0,0,1,0,0,22,23,41,0,0,0,2,4,12,6,0,0
0,13,0,30,0,0,38,6,0,0,1,0,0,22,23,41,0,0,0,2,4,12,6,0,0
0,13,0,30,0,0,38,6,0,0,1,0,0,22,23,41,0,0,0,2,4,12,6,0,0
0,13,0,30,0,0,38,6,0,0,1,0,0,22,23,41,0,0,0,2,4,12,6,0,0
0,13,0,30,0,0,38,6,0,0,1,0,0,22,23,41,0,0,0,2,4,12,6,0,0
0,13,0,30,0,0,38,6,0,0,1,0,0,22,23,41,0,0,0,2,4,12,6,0,0
0,13,0,30,0,0,38,6,0,0,1,0,0,22,23,41,0,0,0,2,4,12,6,0,0
0,13,0,30,0,0,38,6,0,0,1,0,0,22,23,41,0,0,0,2,4,12,6,0,0
0,13,0,30,0,0,38,6,0,0,1,0,0,22,23,41,0,0,0,2,4,12,6,0,0
0,13,0,30,0,0,38,6,0,0,1,0,0,22,23,41,0,0,0,2,4,12,6,0,0
0,13,0,30,0,0,38,6,0,0,1,0,0,22,23,41,0,0,0,2,4,12,6,0,0
0,13,0,30,0,0,38,6,0,0,1,0,0,22,23,41,0,0,0,2,4,12,6,0,0
0,13,0,30,0,0,38,6,0,0,1,0,0,22,23,41,0,0,0,2,4,12,6,0,0
0,13,0,30,0,0,38,6,0,0,1,0,0,22,23,41,0,0,0,2,4,12,6,0,0
0,13,0,30,0,0,38,6,0,0,1,0,0,22,23,41,0,0,0,2,4,12,6,0,0
0,13,0,30,0,0,38,6,0,0,1,0,0,22,23,41,0,0,0,2,4,12,6,0,0
0,13,0,30,0,0,38,6,0,0,1,0,0,22,23,41,0,0,0,2,4,12,6,0,0
0,13,0,30,0,0,38,6,0,0,1,0,0,22,23,41,0,0,0,2,4,12,6,0,0
0,12,0,31,0,0,39,3,0,0,0,0,0,21,24,43,0,0,-2,1,5,11,7,0,2
0,11,0,29,0,0,35,0,4,0,5,0,0,21,26,46,0,0,0,1,7,12,9,0,3
0,11,0,29,0,0,35,0,4,0,5,0,0,21,26,46,0,0,0,1,7,12,9,0,3
0,7,0,29,0,0,21,0,11,0,4,0,0,23,29,42,0,0,0,1,-1,18,7,0,-4
0,0,0,0,0,0,10,-9,18,0,7,0,0,19,21,31,0,0,0,0,-6,0,-2,0,-5
6,-1,14,3,13,0,-30,-19,-9,0,4,0,11,7,5,-9,9,0,13,0,1,-6,-16,4,23
10,0,-5,11,0,0,4,-7,17,0,14,0,-11,26,17,24,-4,0,0,-2,-8,0,-3,-4,-8
3,1,17,2,12,0,-40,-21,-7,0,4,0,12,5,9,-13,9,0,13,-1,-3,-4,-11,0,21
6,0,-3,5,0,0,9,-8,15,0,10,0,-12,18,20,32,-7,0,4,-1,-4,0,-1,0,-5
5,-2,12,3,13,0,-40,-19,-5,0,7,0,9,6,9,-10,6,0,14,-2,-1,2,-16,0,19
7,0,-6,13,0,0,3,-6,14,0,16,0,-9,23,21,26,-4,0,0,-4,-7,0,0,0,-7
5,-1,16,4,10,0,-39,-21,-6,0,8,0,11,3,7,-10,6,1,19,0,0,0,-13,0,21
7,-3,-8,12,0,0,6,-7,17,0,18,0,-11,25,22,26,-5,-1,-3,-2,-7,0,-1,0,-10
7,0,16,3,8,0,-37,-21,-6,0,7,3,15,5,6,-15,9,2,15,-3,0,0,-11,0,23
14,-4,-6,5,11,0,-2,-8,21,0,10,-3,-15,15,18,21,-1,-2,-3,-7,-6,2,0,0,-5
0,0,13,0,17,0,-35,-3,-2,0,7,0,16,0,12,-8,10,0,15,-2,-3,0,-10,0,18
1,0,16,0,14,0,-37,0,-4,0,7,1,16,0,9,-12,10,0,17,-4,0,0,-10,0,20
6,0,16,0,16,0,-37,0,-4,0,7,-1,13,4,8,-8,12,2,12,-5,1,-3,-10,3,19
6,-1,14,0,15,0,-36,0,-3,0,2,0,14,0,12,-10,8,-2,15,-5,0,0,-15,0,25
5,-1,16,3,13,0,-40,0,-4,0,10,5,16,1,8,-15,11,0,13,-7,-2,2,-9,4,21
4,0,16,2,16,0,-45,0,-2,0,12,0,16,0,9,-11,11,0,19,-8,-5,5,-9,0,20
7,0,16,4,13,0,-41,0,0,0,8,0,11,-1,7,-14,9,0,22,-1,0,0,-8,0,21
0,0,17,0,14,0,-41,0,-5,0,0,0,16,-2,10,-12,8,5,21,0,-3,0,-8,0,17
0,0,16,2,15,0,-44,0,0,0,1,0,19,-3,9,-10,6,0,23,0,-1,0,-3,0,18
0,0,13,0,17,0,-45,0,0,0,1,0,16,-3,10,-12,8,6,23,0,-4,0,-5,-1,17
0,1,14,0,16,0,-42,0,0,0,7,7,16,-4,6,-10,7,1,25,0,-5,0,-9,0,14
1,3,8,1,11,0,-42,0,1,0,6,6,15,0,8,-10,4,5,20,0,-3,0,-8,-1,16
0,5,10,0,11,0,-41,0,2,0,7,0,19,3,10,-13,0,5,19,0,-9,0,0,1,17
3,2,5,2,7,0,-43,0,0,0,5,2,14,0,7,-8,4,5,22,0,-7,-2,0,-2,15
20,0,-2,0,13,0,-12,0,20,0,2,-2,-8,16,15,11,0,-3,0,0,-5,-11,0,-4,0
0,-1,4,6,7,0,-43,0,0,0,8,-4,14,1,3,-13,8,0,19,0,-7,-2,0,0,18
14,-1,-12,5,-4,0,5,0,24,0,11,-14,-21,19,15,25,-7,-5,-1,0,-9,-5,4,0,-10
12,0,-12,0,0,0,0,0,22,0,8,0,-10,14,16,22,-5,-7,-3,0,-5,-1,1,0,-6
6,1,7,6,4,0,-53,0,0,0,-3,0,18,-5,0,-17,7,2,28,0,-6,-4,-2,0,21
13,0,-18,7,-2,0,18,0,19,0,12,0,-22,13,14,33,-7,-10,0,0,-1,0,0,0,0
8,1,1,7,3,0,-41,0,-3,0,-1,3,17,-8,3,-14,0,0,29,0,2,-9,-3,7,29
15,-1,-20,-3,0,0,16,0,17,0,7,-3,-18,11,16,24,-7,-4,0,0,-3,-12,3,-5,-5
20,8,-11,0,0,0,4,0,9,0,1,0,-5,11,14,16,0,0,0,0,0,-17,-3,-2,15
4,5,0,4,4,0,-30,0,-6,0,0,1,12,-4,6,-5,4,0,28,0,8,-9,0,10,26
25,8,-1,6,0,0,-7,0,0,0,-2,-1,-4,9,15,8,-1,0,9,0,2,-18,0,-3,16
7,9,6,4,0,0,-31,0,-5,0,0,2,8,-3,11,-7,1,0,33,0,3,-8,0,6,27
5,4,3,5,1,0,-29,0,-8,0,-3,0,5,-2,12,-3,2,0,32,0,5,-8,0,2,21
19,0,-3,6,0,0,-14,0,9,0,0,-2,0,0,20,11,0,0,12,0,1,-15,0,0,18
4,1,2,12,2,0,-28,0,-10,0,3,0,7,-1,9,-6,3,0,25,0,8,-8,0,5,26
23,4,-8,3,-1,0,-9,0,3,0,-2,0,1,9,13,12,0,0,9,0,4,-18,0,-4,15
21,1,-6,2,-2,0,-11,0,5,0,0,0,6,7,16,14,0,0,11,0,4,-15,0,-3,17
1,-1,0,11,0,0,-32,0,0,0,2,0,15,-2,11,-7,0,0,25,0,11,-2,0,8,23
1,0,-1,12,0,0,-22,0,0,0,0,0,15,-3,0,-6,0,0,25,0,10,-2,0,10,23
0,0,-5,1,0,0,0,0,0,0,0,0,0,0,0,-5,0,0,18,0,0,-4,0,1,24
0,0,0,1,0,0,0,0,-1,0,0,0,0,0,0,-10,0,0,11,0,0,-3,0,0,21
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9,0,0,21,0,0,-5,0,0,11
0,0,0,1,0,0,0,0,-2,0,1,0,3,0,0,-10,0,0,20,0,0,-6,0,0,22
0,0,0,1,0,0,0,0,-3,0,0,0,1,0,0,-11,0,0,21,0,0,-5,0,0,21
0,0,0,1,0,0,0,0,-1,0,1,0,1,0,0,-8,0,0,22,0,0,-6,0,0,17
0,0,0,3,0,0,0,0,-6,0,0,0,17,0,2,-13,0,0,20,0,-3,-8,0,0,22
0,0,0,0,0,0,0,0,-6,0,0,0,0,0,0,-9,0,0,23,0,0,-4,0,1,19
0,0,0,0,0,0,0,0,-3,0,0,0,9,0,0,-10,0,0,22,0,-1,-7,0,1,20
0,0,0,2,-1,0,0,0,-6,0,1,0,8,0,0,-9,0,0,25,0,0,-7,0,0,22
0,0,0,10,0,0,0,0,-9,0,0,0,15,1,2,-13,0,0,22,0,-4,-7,0,0,20
0,0,0,9,-1,0,0,0,-7,0,1,0,18,0,4,-13,0,0,24,0,-6,-9,0,0,20
0,0,0,5,0,0,0,0,-7,0,11,0,15,0,10,-15,8,0,18,0,-7,-12,0,-1,21
0,0,0,0,0,0,0,0,-9,0,2,0,15,0,5,-9,0,0,20,0,-3,-8,0,0,18
0,0,0,0,0,0,0,0,-8,0,1,0,16,0,1,-9,0,0,21,0,-8,-5,0,0,20
