date,account_value
2023-01-03,1007899.6242103577
2023-01-04,1007962.1885263405
2023-01-05,1007361.0787216835
2023-01-06,1010339.0048826828
2023-01-09,1009434.5138600616
2023-01-10,1011355.2231793784
2023-01-11,1012937.3114169769
2023-01-12,1013633.4469412764
2023-01-13,1015561.6050572242
2023-01-17,1009087.0419399719
2023-01-18,1001450.6539663962
2023-01-19,998656.1822826461
2023-01-20,1002198.1541205482
2023-01-23,1005620.4789288865
2023-01-24,1005454.5059291343
2023-01-25,1004690.0150849228
2023-01-26,1007706.6502692681
2023-01-27,1004313.9326751137
2023-01-30,1000710.4251723442
2023-01-31,1007173.1398550529
2023-02-01,1001878.6740730247
2023-02-02,1006571.9513026695
2023-02-03,1002618.3475177726
2023-02-06,1004678.3271261863
2023-02-07,1012209.3894215889
2023-02-08,1003898.43359943
2023-02-09,993837.7160193176
2023-02-10,999775.006675785
2023-02-13,1009988.0302998695
2023-02-14,1004824.9637872658
2023-02-15,1006717.787562727
2023-02-16,992459.0115782241
2023-02-17,1000467.6672309876
2023-02-21,985453.7729654503
2023-02-22,982937.4723177757
2023-02-23,985844.9675019893
2023-02-24,977120.8708444213
2023-02-27,979706.2530115509
2023-02-28,966476.1514295922
2023-03-01,966844.743391613
2023-03-02,971544.3223558541
2023-03-03,981378.0373158321
2023-03-06,983284.2839958515
2023-03-07,962631.1645840436
2023-03-08,961913.1768701954
2023-03-09,947553.8078006115
2023-03-10,936627.0774990139
2023-03-13,932076.1652726536
2023-03-14,938599.964739708
2023-03-15,934172.6863973446
2023-03-16,943709.6566158142
2023-03-17,925089.7529342347
2023-03-20,938977.4695105382
2023-03-21,947293.8353490811
2023-03-22,933801.1132317219
2023-03-23,938608.1551518708
2023-03-24,943844.5204898797
2023-03-27,949456.4464426079
2023-03-28,948677.4568520241
2023-03-29,958029.4063541566
2023-03-30,960562.6375341568
2023-03-31,971113.8349859696
2023-04-03,977087.9791139794
2023-04-04,975387.9116178303
2023-04-05,981514.2302975617
2023-04-06,983101.9350013161
2023-04-10,984833.7539194222
2023-04-11,988263.8315449773
2023-04-12,986988.6670994969
2023-04-13,995807.6220498505
2023-04-14,995544.6591096306
2023-04-17,997209.9236019745
2023-04-18,990930.6719677907
2023-04-19,991436.0077688122
2023-04-20,988951.275637003
2023-04-21,992662.6564818727
2023-04-24,996397.3208655186
2023-04-25,988924.3736496087
2023-04-26,972717.8671288738
2023-04-27,986010.6480648442
2023-04-28,991322.5586300563
2023-05-01,987269.2842931843
2023-05-02,973351.0880874043
2023-05-03,959236.8060344373
2023-05-04,949419.1158542405
2023-05-05,965591.9406278458
2023-05-08,962353.5205905935
2023-05-09,960773.3418227483
2023-05-10,956194.5333093358
2023-05-11,950660.0730856343
2023-05-12,951820.9124921246
2023-05-15,953378.5620660267
2023-05-16,939881.1763636533
2023-05-17,954773.2257727185
2023-05-18,955069.0213822727
2023-05-19,948149.152551218
2023-05-22,946745.268583395
2023-05-23,946790.1507059078
2023-05-24,936572.6472094231
2023-05-25,931999.1940412141
2023-05-26,944135.931269579
2023-05-30,943702.0783885212
2023-05-31,940279.9698565693
2023-06-01,931786.3253024311
2023-06-02,952023.0696662159
2023-06-05,952356.7896083088
2023-06-06,956450.4380566579
2023-06-07,966697.8517002431
2023-06-08,967477.0237306328
2023-06-09,964681.763056757
2023-06-12,969075.3211852093
2023-06-13,977292.4228432312
2023-06-14,970053.7770634766
2023-06-15,981093.8206993295
2023-06-16,978721.1132696687
2023-06-20,970820.8229287491
2023-06-21,963798.9172390748
2023-06-22,963200.9491267395
2023-06-23,954812.5411784669
2023-06-26,954841.4560694505
2023-06-27,956208.150870781
2023-06-28,950293.4993650571
2023-06-29,960518.5758455793
2023-06-30,964176.8633467122
2023-07-03,970109.9485262204
2023-07-05,964403.924111889
2023-07-06,947044.1880032845
2023-07-07,941679.5075027085
2023-07-10,955242.7090738736
2023-07-11,962014.1920710698
2023-07-12,967438.606220812
2023-07-13,968695.5999124318
2023-07-14,971845.7135274678
2023-07-17,973975.9901662999
2023-07-18,992021.0127606221
2023-07-19,996587.575437666
2023-07-20,1008958.0895259382
2023-07-21,1012353.9929523927
2023-07-24,1021192.6426768036
2023-07-25,1017250.5447960072
2023-07-26,1022590.5767521553
2023-07-27,1018912.6687281075
2023-07-28,1019329.0512468491
2023-07-31,1023233.6717730294
2023-08-01,1020484.9631625882
2023-08-02,1011412.8747450734
2023-08-03,1014359.3931204701
2023-08-04,1022869.0789919682
2023-08-07,1039012.9198215829
2023-08-08,1037548.5213500463
2023-08-09,1028988.160626772
2023-08-10,1030169.8748401796
2023-08-11,1033427.2533178292
2023-08-14,1028274.5806151009
2023-08-15,1026460.6591500703
2023-08-16,1021391.5378252526
2023-08-17,1015065.25218042
2023-08-18,1011912.3876418038
2023-08-21,1006699.2710961724
2023-08-22,998489.6924052602
2023-08-23,1004790.4918417035
2023-08-24,997051.056211382
2023-08-25,999063.2181587621
2023-08-28,1006901.7838211766
2023-08-29,1019919.7459965459
2023-08-30,1019463.2833004704
2023-08-31,1014723.0543758488
2023-09-01,1015409.824219904
2023-09-05,1004898.5722059498
2023-09-06,995692.6276924764
2023-09-07,1002695.785352007
2023-09-08,1011375.6836216603
2023-09-11,1012074.2654221212
2023-09-12,1015031.7215511953
2023-09-13,1015894.0506168919
2023-09-14,1034596.9995476323
2023-09-15,1026137.5808232442
2023-09-18,1024832.0653175641
2023-09-19,1022967.7706020108
2023-09-20,1024785.8801229878
2023-09-21,1011505.410568596
2023-09-22,1006329.4007940121
2023-09-25,1007161.3710967388
2023-09-26,998424.1466278974
2023-09-27,994746.7008199693
2023-09-28,1000143.2091489068
2023-09-29,995926.4833721162
2023-10-02,988686.3203283387
2023-10-03,965713.2430521012
2023-10-04,973495.4071413041
2023-10-05,975615.6670099259
2023-10-06,980996.8041105805
2023-10-09,986872.0128049317
2023-10-10,991320.0802944241
2023-10-11,1001138.61868363
2023-10-12,997710.9207079449
2023-10-13,994025.4159359246
2023-10-16,1005159.0792354852
2023-10-17,998639.0429926263
2023-10-18,983799.0645990716
2023-10-19,973275.6030550348
2023-10-20,970332.0214696599
2023-10-23,965289.1299890691
2023-10-24,968009.8703563405
2023-10-25,960873.5488956167
2023-10-26,961780.686075945
2023-10-27,943082.9682986928
2023-10-30,959565.6454438211
2023-10-31,960093.3323053285
2023-11-01,968881.7636054936
2023-11-02,988896.6804773961
2023-11-03,1007791.9213807812
2023-11-06,1007096.7373276941
2023-11-07,1006071.2025055962
2023-11-08,1007475.5370403291
2023-11-09,989750.3324393311
2023-11-10,1001670.6903792974
2023-11-13,1000564.5546006184
2023-11-14,1026633.5719890614
2023-11-15,1033323.5721522314
2023-11-16,1026218.7683049184
2023-11-17,1026945.8335370503
2023-11-20,1029166.2410973703
2023-11-21,1020595.2135535775
2023-11-22,1028430.9763667717
2023-11-24,1031432.7771596967
2023-11-27,1027980.1253725872
2023-11-28,1030047.156545355
2023-11-29,1036931.5558358785
2023-11-30,1045986.8832575112
2023-12-01,1062233.3742243464
2023-12-04,1067030.903351887
2023-12-05,1058032.4652747957
2023-12-06,1057636.0017244036
2023-12-07,1062921.2240671865
2023-12-08,1069302.2227181112
2023-12-11,1076312.6250572435
2023-12-12,1081168.2363201333
2023-12-13,1107740.3971509382
