date,tic,open,high,low,close,volume,macd,boll_ub,boll_lb,rsi_30,cci_30,dx_30,close_30_sma,close_60_sma,vix,turbulence
2023-04-03,AMGN,225.20963568424222,227.76883608974495,224.61404052151136,227.4803466796875,2478700.0,0.0,232.9848790147489,224.8514246961886,100.0,66.66666666666735,100.0,227.4803466796875,227.4803466796875,18.549999237060547,0.0
2023-04-04,AMGN,227.55480093420974,230.89571737355746,226.88475459204247,230.35595703125,2942800.0,0.0645168989132685,232.9848790147489,224.8514246961886,100.0,66.66666666666735,100.0,228.91815185546875,228.91815185546875,19.0,0.0
2023-04-05,AMGN,231.32381467563286,236.10719252175022,231.00739363825764,235.790771484375,2468000.0,0.2507406059604591,239.64977951275378,222.76827061745453,100.0,100.00000000000034,100.0,231.20902506510416,231.20902506510416,19.079999923706055,0.0
2023-04-06,AMGN,236.71211491615685,237.70786929634087,235.381323118206,235.74427795410156,2047800.0,0.3276151517313224,240.59305500354773,224.0926215711593,99.41790283545743,84.73776692853095,100.0,232.34283828735352,232.34283828735352,18.399999618530273,0.0
2023-04-10,AMGN,238.64777540951775,238.64777540951775,232.70112463471824,233.4921417236328,1595600.0,0.2728728227069155,239.79116665196602,225.35423129725274,76.96733525596724,51.1322476564894,52.555336950445984,232.57269897460938,232.57269897460938,18.969999313354492,0.0
2023-04-11,AMGN,233.97608100793545,235.5209109902274,233.56660663189564,233.98538208007812,1272800.0,0.25592740356674426,239.3667641173028,226.2495282004055,78.08838361131144,36.800599325261246,52.555336950445984,232.80814615885416,232.80814615885416,19.100000381469727,0.0
2023-04-12,AMGN,234.98117129645033,235.17660742953797,231.61233686982,232.18931579589844,2268900.0,0.15928705147459254,238.7251605208703,226.71432312170782,65.98957738955956,7.3539379092047374,27.378631607331638,232.71974182128906,232.71974182128906,19.09000015258789,0.0
2023-04-13,AMGN,231.351737125359,234.42276644817363,231.04463135305556,233.99468994140625,2020900.0,0.1777888532460281,238.51166300583296,227.24655766677446,70.70871486697811,11.223399215498622,21.169007106044972,232.8791103363037,232.8791103363037,17.799999237060547,0.0
2023-04-14,AMGN,233.231580919832,234.29248533717916,231.6867651542984,232.65460205078125,1866200.0,0.12140923159529393,238.1250610186656,227.58326892382573,63.9003452290256,3.470161588560435,21.169007106044976,232.85416497124567,232.85416497124567,17.06999969482422,0.0
2023-04-17,AMGN,233.48285709364575,234.05053490336408,230.40251236554357,230.8585205078125,1784800.0,-0.012866307987849268,237.78182751757598,227.52737353222872,56.37429167409057,-29.231600868035795,7.6086607850839565,232.65460052490235,232.65460052490235,16.950000762939453,0.0
2023-04-18,AMGN,231.13770866885199,231.7333039314883,227.6758067672436,229.01589965820312,1638800.0,-0.2078821831167943,237.6599325479872,226.98768652605398,50.110644629064694,-86.7743745727017,14.18754850601662,232.3238095370206,232.3238095370206,16.829999923706055,0.0
2023-04-19,AMGN,228.23417876004635,229.63940753150354,227.41522996602578,229.12757873535156,1246500.0,-0.34189521638668907,237.4695675996636,226.64534634076608,50.45578694283492,-92.98146773604009,15.927153670932112,232.05745697021484,232.05745697021484,16.459999084472656,0.0
2023-04-20,AMGN,229.04379349919728,229.3043655122707,226.1868024272462,226.568359375,1691300.0,-0.5813131492247123,237.64528176407703,225.62515562324268,43.34681979971196,-111.0892877864089,23.719876965466817,231.63521869365985,231.63521869365985,17.170000076293945,0.0
