,Annual return,Cumulative returns,Annual volatility,Sharpe ratio,Calmar ratio,Stability,Max drawdown,Omega ratio,Sortino ratio,Skew,Kurtosis,Tail ratio,Daily value at risk,Trade_Perf,Description
optimized_non_compressed,0.1488449037445769,0.1350120858359114,0.1264756826191868,1.1651285048077231,2.0604251326227714,0.8568144255228014,-0.0722398991295103,1.2212459245737124,1.7161352403423422,,,0.980887457054184,-0.015349674659942,3.467265813837457,"Optimization with 5 Trials, with 20_000 steps of training"
default_non_compressed,0.1188985078920272,0.1079781338659127,0.1288803544520974,0.9397632956092584,1.5720119319073778,0.7905352106158611,-0.0756346090501765,1.1727627432552157,1.4081550254875337,,,1.0243152957069994,-0.015756775295659,1.7331314546348948,"Default hiperparameters, with 20_000 steps of training"
optimized_non_compressed_non_pca,-0.0379726799716094,-0.0172093430900837,0.1017220023662554,-0.333491634944053,-0.6462336047635283,0.4657715968456299,-0.0587599897184309,0.9399636148480376,-0.4594201867154509,0.0,0.0,1.072460512839809,-0.0129503844856132,0.5161070999606016,"No PCA analisys in dataprocessing, Optimized with 5 Trials, with 20_000 steps of training"
default_non_compressed_non_pca,-0.0289667945726276,-0.0130944303520444,0.0699342292069294,-0.389295699970515,-0.6094211600215299,0.2324737486084871,-0.0475316521198644,0.9299620320362346,-0.4913222923941884,0.0,0.0,0.7236077337906636,-0.0089189207859575,0.6890546078902756,"No PCA analisys in dataprocessing, Default parameters, with 20_000 steps of training"
optimized_full_compressed_data_15e,0.052509745726702,0.0478177468709881,0.0992547992223563,0.5673310614446763,0.6486453567061827,0.6282989733868448,-0.0809529355044584,1.0985326912602074,0.8130086192011258,,,1.1126974232547384,-0.0122814756010624,2.768978711730886,"Data processing with Data one hot encodeing, PCA analisys, and compression with autoencoders (15 epochs, 96% reconstruction score), Optimized with 5 trials, with 20_000 steps of training"
optimized_full_compressed_data_20e,0.0946458627867989,0.086037918930474,0.1049889495038678,0.9174637553876688,1.2235192397409893,0.7436403986134396,-0.0773554348085567,1.1695352690744938,1.389626026379073,,,1.154490859629563,-0.0128451279907928,1.7918752303754155,"Data processing with Data one hot encodeing, PCA analisys, and compression with autoencoders (20 epochs, 99% reconstruction score), Optimized with 5 trials, with 20_000 steps of training"
default_full_compressed_data_20e,0.1508928680661667,0.1368586099867732,0.1229489690367317,1.2093148520162282,1.8839545188191975,0.7599976616130091,-0.0800936893958255,1.2514577721412077,1.958034532771888,,,1.2812918680838217,-0.0149000981665852,2.1637008309626453,"Data processing with Data one hot encodeing, PCA analisys, and compression with autoencoders (20 epochs, 99% reconstruction score), Default Parameters, with 20_000 steps of training"
best_pca_custom_env,0.1616576102308029,0.1465598160863084,0.1063669260231576,1.4683478945979678,3.1240185375284986,0.9149727390606422,-0.0517466872519568,1.2910473504585624,2.147451089686637,0.0,0.0,0.939461632247473,-0.0127811966502983,3.7491167707256654,"Custom enviroment designeed to mazimize sharpe ratio, No one hot encoding, PCA analisys, No autoencoder compression, best checkpoint, with 20_000 steps of training"
optimized_pca_custom_env,0.0216750501658629,0.0197642121305643,0.1163207997067071,0.2431859522877047,0.308038586443016,0.5626157505548618,-0.0703647241605316,1.0421708192251369,0.3288261081275704,0.0,0.0,0.8672815972099939,-0.0145427909344828,1.4405837070584546,"Custom enviroment designeed to mazimize sharpe ratio, No one hot encoding, PCA analisys, No autoencoder compression, Optimized parameters (5 trials), with 20_000 steps of training"
default_pca_custom_env,0.0586786028674595,0.0534215225594629,0.1456907018585817,0.4656514982658589,0.6337429343438057,0.6396889580619394,-0.0925905437166205,1.084344797322605,0.6802746654759222,0.0,0.0,1.137335093666802,-0.0180860924278702,2.12523821983116,"Custom enviroment designeed to mazimize sharpe ratio, No one hot encoding, PCA analisys, No autoencoder compression, Default Parameters, with 20_000 steps of training"
default_pca_custom_env_max,0.2068999725644069,0.1872474494434652,0.1165129077191651,1.6796892997571724,2.897271130147057,0.8400498559042122,-0.0714120160904324,1.346421361343319,2.5014972970647493,0.0,0.0,1.026725290041784,-0.0139026375232844,7.195352736268067,"Custom enviroment designeed to mazimize sharpe ratio, No one hot encoding, PCA analisys, No autoencoder compression, Default Parameters, with 100_000 steps of training"
optimized_pca_custom_env_max,0.1875592599698645,0.1698704335152239,0.117470568515405,1.5287753240233062,2.9968423127060886,0.7743450728925815,-0.062585628604697,1.299977032708422,2.248450920817911,0.0,0.0,1.0235344458487337,-0.0140872572281281,2.3191070933950804,"Custom enviroment designeed to mazimize sharpe ratio, No one hot encoding, PCA analisys, No autoencoder compression, Optimized Parameters with 25 trials, with 10_000 steps of training"
