date,account_value
2023-01-03,1007899.6242103577
2023-01-04,1007889.668749706
2023-01-05,1007763.9123626823
2023-01-06,1007993.4237856405
2023-01-09,1007939.8633813283
2023-01-10,1008127.8870484271
2023-01-11,1008500.9065384783
2023-01-12,1008757.0718242144
2023-01-13,1008931.6320078234
2023-01-17,1008738.9942187152
2023-01-18,1008071.5119143635
2023-01-19,1007134.2446851078
2023-01-20,1007920.2494451329
2023-01-23,1008223.7537072256
2023-01-24,1008597.5968372457
2023-01-25,1008560.9223995627
2023-01-26,1009066.6729002264
2023-01-27,1009000.933529926
2023-01-30,1007950.6805692632
2023-01-31,1008627.7276161383
2023-02-01,1008947.8957239188
2023-02-02,1010345.6544215963
2023-02-03,1009323.9328132285
2023-02-06,1009199.5503427237
2023-02-07,1009562.7237055089
2023-02-08,1008639.8995192447
2023-02-09,1007300.2092513079
2023-02-10,1007752.0274229847
2023-02-13,1009210.222385143
2023-02-14,1008283.2869384727
2023-02-15,1008752.1487483024
2023-02-16,1007601.1903613394
2023-02-17,1006728.7475400349
2023-02-21,1001482.7831884039
2023-02-22,1001083.2749541206
2023-02-23,1002008.3977139855
2023-02-24,1000858.5392484093
2023-02-27,1001306.0190337182
2023-02-28,1000910.1737447854
2023-03-01,1000590.2092538567
2023-03-02,1001866.8688879509
2023-03-03,1004299.248420269
2023-03-06,1004368.6686906624
2023-03-07,1000877.591856571
2023-03-08,1001561.6613912085
2023-03-09,998560.1681537513
2023-03-10,995756.2420114402
2023-03-13,995729.3520560873
2023-03-14,996811.5549895819
2023-03-15,995298.3456848487
2023-03-16,996682.5416486929
2023-03-17,996078.1886976736
2023-03-20,997051.9706077002
2023-03-21,999133.9085651587
2023-03-22,995282.0555489921
2023-03-23,995931.766485653
2023-03-24,995758.176068104
2023-03-27,995854.2098181116
2023-03-28,996082.6596509134
2023-03-29,998491.6935641825
2023-03-30,1000116.9489961434
2023-03-31,1004909.0876830941
2023-04-03,1007043.050576847
2023-04-04,1003708.0326109962
2023-04-05,1001403.7377039833
2023-04-06,1000975.29818375
2023-04-10,1002949.0803360784
2023-04-11,1004018.0653159445
2023-04-12,1002638.4721230124
2023-04-13,1005287.8649504203
2023-04-14,1005747.8231547124
2023-04-17,1007322.4964906041
2023-04-18,1008258.2851170613
2023-04-19,1007128.4716298328
2023-04-20,1006620.9765187717
2023-04-21,1006855.0277295032
2023-04-24,1008111.3258291432
2023-04-25,1003244.5907452579
2023-04-26,1001459.1716247668
2023-04-27,1005726.7026654315
2023-04-28,1010542.9275802418
2023-05-01,1008676.8291397128
2023-05-02,1004767.4779351155
2023-05-03,1002996.8011904637
2023-05-04,997949.5216485171
2023-05-05,1003385.9548893238
2023-05-08,1002518.6062538867
2023-05-09,1002532.3403002353
2023-05-10,1002178.802462482
2023-05-11,998435.8604673494
2023-05-12,999306.1561685976
2023-05-15,999355.7750023226
2023-05-16,994569.6371866718
2023-05-17,1002323.5843585621
2023-05-18,1005340.0340864827
2023-05-19,1003358.9929565467
2023-05-22,1002829.2313452263
2023-05-23,1003928.7248058738
2023-05-24,1000597.9008745385
2023-05-25,999990.1833890876
2023-05-26,1005007.4619998968
2023-05-30,1003644.5014618108
2023-05-31,997626.4519257006
2023-06-01,1002743.245923778
2023-06-02,1014843.5598285939
2023-06-05,1012090.71235667
2023-06-06,1014701.139939342
2023-06-07,1019794.9130989718
2023-06-08,1019560.8889752841
2023-06-09,1017981.5857154576
2023-06-12,1021748.8259497639
2023-06-13,1025146.6402121007
2023-06-14,1024114.6385671728
2023-06-15,1030244.9474978294
2023-06-16,1026524.1855617941
2023-06-20,1022981.4682694358
2023-06-21,1021501.2174181405
2023-06-22,1020637.620887272
2023-06-23,1017516.2187102471
2023-06-26,1021951.9308447456
2023-06-27,1028029.9602800637
2023-06-28,1024784.1751689492
2023-06-29,1027640.8173851969
2023-06-30,1032123.7820275231
2023-07-03,1031698.3486031686
2023-07-05,1030669.0951918525
2023-07-06,1022569.0875986594
2023-07-07,1023996.3583003958
